Model,Test RMSE,Test MAE,Test MAPE %,Parameters,Train time (s)
CNN32k3_LSTM64_finetuned,3.2213498926780595,1.8252587721873814,1.160609392963619,25025.0,22.0
CNN32k3_LSTM64,3.2277974204181197,1.8237233100757873,1.1585737857928977,25025.0,24.3
Baseline (persistence),3.238027174362002,1.8269458932218268,1.1589238093514214,,
GRU_64_d0_lr1e-4,3.238478245711444,1.8248730436251221,1.1577244394138733,12929.0,5.7
LSTM_64x32_d0,3.2402790825990015,1.824715795712799,1.1582152111638147,29345.0,32.4
GRU_64x32_d02,3.2422420602867565,1.8490686064598425,1.1733798108197564,22305.0,8.9
LSTM_64x32_d02,3.2427390721421316,1.8251559393011993,1.1585274858305825,29345.0,20.0
LSTM_64_d02,3.248560759197396,1.828128791351934,1.160686187870534,16961.0,18.8
GRU_64_d02,3.2518581841011187,1.8279380331899096,1.1596790086592483,12929.0,17.5
GRU_64_d0,3.262653252822928,1.8304404257416564,1.1609989760733308,12929.0,18.8
GRU_64_d0_w30,3.2681656932590686,1.8317896445445028,1.1626179104221506,12929.0,30.0
