Model,Test RMSE,Test MAE,Test MAPE %,Parameters,Train time (s)
Hybrid_CNN32_LSTM64_Dropout0p2_Win1Month_21d,3.227708262335748,1.8236223273953787,1.1571514816802364,25025,9.9
GRU_1Layer_64Units_NoDropout_LR0p0001_Win1Month_21d,3.233908378551294,1.824518802722275,1.1590493085435367,12929,6.3
LSTM_2Layer_64-32Units_Dropout0p2_Win1Month_21d,3.234587063174369,1.8254907973512318,1.1593430483684306,29345,13.4
Hybrid_CNN32_LSTM64_Dropout0p2_Win1Month_21d_FineTuned,3.235302135138889,1.8244538546811566,1.158258197938911,25025,15.6
LSTM_1Layer_64Units_Dropout0p2_Win1Month_21d,3.235765582344033,1.8254750509663114,1.1594685044947892,16961,12.5
GRU_2Layer_64-32Units_Dropout0p2_Win1Month_21d,3.236747612177992,1.8249459368038838,1.1586180247299116,22305,10.8
Baseline (persistence),3.238027174362002,1.8269458932218268,1.1589238093514214,0,0.0
GRU_1Layer_64Units_NoDropout_Win1Month_21d,3.238112679585892,1.8248799912571532,1.1581214220815288,12929,6.9
GRU_1Layer_64Units_NoDropout_Win1M_21d,3.238112679585892,1.8248799912571532,1.1581214220815288,12929,6.0
GRU_1Layer_64Units_Dropout0p2_Win1Month_21d,3.2382849217137615,1.825045683647303,1.1583501056787786,12929,7.4
LSTM_2Layer_64-32Units_NoDropout_Win1Month_21d,3.238664171413619,1.8266872046980525,1.1599422139284634,29345,7.4
GRU_1Layer_64Units_NoDropout_Win1W_5d,3.2554220841822423,1.8462953346760986,1.1771172387529811,12929,6.6
GRU_1Layer_64Units_NoDropout_Win1Y_252d,3.276245532347723,1.8483617426063315,1.1767377272626536,12929,47.5
