Model,Test RMSE,Test MAE,Test MAPE %,Parameters,Train time (s),Δ RMSE vs baseline,Beats baseline,RMSE gain USD,Gain per train min,Gain per 10k params,Label
Hybrid_CNN32_LSTM64_Dropout0p2_Win1Month_21d,3.227708283916827,1.8236211182304356,1.1571505043658816,25025,10.0,-0.010318890445174755,True,0.010318890445174755,0.06191334267104853,0.004123432745324578,CNN-LSTM
GRU_1Layer_64Units_NoDropout_LR0p0001_Win1Month_21d,3.233908378551294,1.824518802722275,1.1590493085435367,12929,5.1,-0.004118795810708065,True,0.004118795810708065,0.04845642130244782,0.003185703310935157,GRU-1L_no-drop_LR1e-4
LSTM_2Layer_64-32Units_Dropout0p2_Win1Month_21d,3.234587063174369,1.825490797351232,1.1593430483684306,29345,11.9,-0.003440111187632766,True,0.003440111187632766,0.017345098425039156,0.0011722989223488724,LSTM-2L
LSTM_1Layer_64Units_Dropout0p2_Win1Month_21d,3.235765582344033,1.8254750509663111,1.1594685044947892,16961,8.8,-0.0022615920179687166,True,0.0022615920179687166,0.01541994557705943,0.0013334072389415226,LSTM-1L
Hybrid_CNN32_LSTM64_Dropout0p2_Win1Month_21d_FineTuned,3.2361287876483154,1.824073303454354,1.1580555460510586,25025,10.0,-0.001898386713686584,True,0.001898386713686584,0.011390320282119504,0.0007585960893852484,CNN-LSTM_fine-tune
GRU_2Layer_64-32Units_Dropout0p2_Win1Month_21d,3.236747612177992,1.824945936803884,1.1586180247299116,22305,9.7,-0.0012795621840098192,True,0.0012795621840098192,0.007914817633050429,0.0005736660766688272,GRU-2L
Baseline (persistence),3.238027174362002,1.8269458932218268,1.1589238093514214,0,0.0,0.0,False,0.0,0.0,0.0,Baseline
GRU_1Layer_64Units_NoDropout_Win1Month_21d,3.238112679585892,1.8248799912571532,1.1581214220815288,12929,6.5,8.55052238901699e-05,False,0.0,0.0,0.0,GRU-1L_no-drop
GRU_1Layer_64Units_Dropout0p2_Win1Month_21d,3.2382849217137615,1.825045683647303,1.1583501056787786,12929,7.0,0.0002577473517595408,False,0.0,0.0,0.0,GRU-1L
LSTM_2Layer_64-32Units_NoDropout_Win1Month_21d,3.238664171413619,1.8266872046980525,1.1599422139284634,29345,7.9,0.0006369970516169055,False,0.0,0.0,0.0,LSTM-2L_no-drop
GRU_1Layer_64Units_NoDropout_Win1Week_5d,3.2554220841822423,1.8462953346760984,1.1771172387529811,12929,5.6,0.01739490982024039,False,0.0,0.0,0.0,GRU-1L_no-drop_1W
GRU_1Layer_64Units_NoDropout_Win1Year_252d,3.276245532347723,1.8483617426063317,1.1767377272626536,12929,45.8,0.03821835798572115,False,0.0,0.0,0.0,GRU-1L_no-drop_1Y
